,station,lat,lon,lat_rad,lon_rad,closest_pt_site,dist_to_pt_site
0,01036390,44.82666667,-68.6966667,0.7823729260855025,-1.1989830190601476,USW00014606,6.300786966773232
1,01064118,43.68694444,-70.3472222,0.7624810206138303,-1.227790647022049,USW00014764,3.4816487650201764
2,01105606,42.2108333,-70.9294444,0.7367180210954634,-1.2379523413902538,USC00193624,1.4085873643210742
3,01110500,42.15370688,-71.65201138,0.7357209769765862,-1.250563514257446,USC00190998,13.342041577702673
4,01118300,41.4748222,-71.8342361,0.7238722040692381,-1.2537439355999707,USW00014794,8.836987982568765
5,01119500,41.7506544,-72.26563469,0.7286863841422577,-1.2612732613839317,USC00068138,3.609732496537461
6,01121000,41.8437089,-72.1689662,0.7303104915510548,-1.2595860779505006,USC00068138,4.555842664618098
7,01122000,41.7201,-72.195575,0.7281531092612863,-1.2600504891205053,USW00054767,1.6279018234917866
8,01122500,41.70037644,-72.1820223,0.7278088681990716,-1.2598139498829701,USW00054767,2.8701862623997405
9,01124000,42.0223189,-71.9556289,0.7334278241280419,-1.2558626396481856,USC00069388,6.0342598767211
10,01125500,41.909475,-71.91386389,0.7314583265322505,-1.2551337027115572,USC00069388,2.462270405992719
11,01127000,41.59749167,-71.9840944,0.7260131902124145,-1.2563594563464122,USC00065910,6.445913745970978
12,01127500,41.5587094,-72.1214666,0.7253363119095171,-1.2587570535371202,USC00065910,3.6507849518930535
13,01184000,41.9873186,-72.6053669,0.732816953653856,-1.2672027070235086,USW00014740,5.221989226262905
14,01184490,41.9138972,-72.5497,0.7315355084824322,-1.26623113633413,USW00014740,7.028627690930386
15,01186000,41.9628729,-73.017606,0.7323902957009012,-1.2743976366239667,USC00060227,8.385131952175424
16,01186500,41.9679222,-73.0334444,0.7324784226108221,-1.2746740688522145,USC00060227,8.814290287308264
17,01188000,41.786209,-72.9648261,0.7293069289764872,-1.2734764535900933,USC00060973,1.7881387539777682
18,01188090,41.7555472,-72.8870417,0.7287717796118992,-1.272118859703405,USC00060973,3.542512568379494
19,01189995,41.9082833,-72.75935278,0.7314375274435545,-1.2698902676310895,USW00014740,4.4557785480770535
20,01190070,41.76909444,-72.66755,0.7290082235544572,-1.2682880068576055,USW00014752,2.441411398624053
21,01191000,41.78443889,-72.7080556,0.7292760347288647,-1.2689949629431012,USW00014752,4.463651290395349
22,01192500,41.7831548,-72.5873114,0.7292536231304728,-1.2668875791004148,USW00014752,4.60548454156161
23,01192883,41.5202333,-72.7065306,0.7246647772811905,-1.2689683466720083,USW00054788,6.316119108447953
24,01193500,41.55232124,-72.44925287,0.7252248174843728,-1.2644780031914513,USW00014752,16.410962110498193
25,01194750,41.3514833,-72.3843667,0.72171953416845,-1.2633455258859425,USW00014707,17.45571311578799
26,01194796,41.3125983,-72.3459166,0.7210408628888121,-1.2626744450432215,USW00014707,15.421228656752831
27,01195490,41.6034722,-72.8832,0.7261175701519288,-1.2720518093895312,USW00054788,7.08401957332779
28,01196500,41.45026389,-72.841275,0.7234435807010128,-1.2713200801006326,USW00054788,4.165500769559089
29,01196620,41.42041389,-72.9026583,0.7229225999192923,-1.272391420791372,USW00054788,7.285658587047249
30,01197500,42.23191667,-73.3546667,0.7370859953193795,-1.2802804556180434,USC00194131,8.922991390682542
31,01200500,41.6531496,-73.4898462,0.7269846043457591,-1.2826397829742433,USC00301211,15.122686700518777
32,01202501,41.719575,-73.29260278,0.7281439462827133,-1.2791972358673491,USC00060227,16.89145013917861
33,01203805,41.5577083,-73.21535278,0.7253188394183754,-1.2778489690201835,USC00061762,15.222379074565511
34,01204000,41.48193889,-73.2245722,0.723996413741582,-1.2780098782543077,USC00061762,11.637660086717608
35,01205500,41.38380278,-73.16663889,0.7222836155069826,-1.2769987512482293,USC00060808,12.68903479040632
36,01206900,41.6737084,-73.0695527,0.7273434230960181,-1.2753042775745125,USC00060973,10.950557648719455
37,01208500,41.4423,-73.0622833,0.7233045845992461,-1.2751774026098681,USW00054788,13.001285753016253
38,01208950,41.15287436,-73.3059495,0.7182531542415542,-1.2794301800756909,USC00060808,8.415634632914132
39,01209761,41.1743222,-73.51107778,0.7186274896669952,-1.2830103439506437,USC00067970,3.9174184886120056
40,01389005,40.89638889,-74.2691667,0.713776638306529,-1.2962414916275318,USW00054743,1.5611512668565537
41,01554000,40.8345293,-76.8266349,0.7126969847870953,-1.3408777322325847,USW00014770,2.1871240407002888
42,0204382800,36.42138889,-76.3425,0.6356731542797829,-1.332427984203771,USC00312719,10.866404544854976
43,02053200,36.3708333,-77.0255556,0.6347907927789945,-1.3443495533979566,USC00315996,6.393182564185964
44,02053500,36.28027778,-76.9994444,0.633210300799139,-1.3438938269863097,USC00315996,12.70210863606013
45,02068500,36.515,-80.3030556,0.6373069763657294,-1.4015527196320705,USC00448170,8.811793223985825
46,02069000,36.31930349,-80.0500424,0.6338914279315675,-1.3971368062410636,USC00312238,10.482709011561903
47,02070500,36.53388889,-79.99138889,0.6376366496882765,-1.3961131093737122,USC00312238,12.650756302233507
48,02071000,36.4125,-79.8261111,0.6355180138824352,-1.3932284677577926,USC00317202,7.667831021454573
49,02074000,36.52555556,-79.7655556,0.6374912056421213,-1.3921715749026011,USC00317202,10.825868999699308
50,02077200,36.39777778,-79.1966667,0.6352610626702323,-1.3822425905195521,USW00013728,14.361010785414681
51,02077280,36.51166667,-79.0472222,0.6372487987821739,-1.3796342919455555,USC00317516,14.5231836233122
52,02077303,36.5227222,-78.9970556,0.6374417541812268,-1.3787587196010245,USC00447925,13.555815982464967
